ColorName,HexValue,Red,Green,Blue
BurntSienna,#E97451,233,116,81
BurntUmber,#8A3324,138,51,36
Byzantine,#BD33A4,189,51,164
Byzantium,#702963,112,41,99
Cadet,#536872,83,104,114
CadetBlue,#5F9EA0,95,158,160
CadetBlueCrayola,#A9B2C3,169,178,195
CadetGrey,#91A3B0,145,163,176
CadmiumGreen,#006B3C,0,107,60
CadmiumOrange,#ED872D,237,135,45
CadmiumRed,#E30022,227,0,34
CadmiumYellow,#FFF600,255,246,0
CafeAuLait,#A67B5B,166,123,91
CafeNoir,#4B3621,75,54,33
CambridgeBlue,#A3C1AD,163,193,173
Camel,#C19A6B,193,154,107
CameoPink,#EFBBCC,239,187,204
Canary,#FFFF99,255,255,153
CanaryYellow,#FFEF00,255,239,0
CandyAppleRed,#FF0800,255,8,0
CandyPink,#E4717A,228,113,122
Capri,#00BFFF,0,191,255
CaputMortuum,#592720,89,39,32
Cardinal,#C41E3A,196,30,58
CaribbeanGreen,#00CC99,0,204,153
Carmine,#960018,150,0,24
CarmineMP,#D70040,215,0,64
CarnationPink,#FFA6C9,255,166,201
Carnelian,#B31B1B,179,27,27
CarolinaBlue,#56A0D3,86,160,211
CarrotOrange,#ED9121,237,145,33
CastletonGreen,#00563F,0,86,63
Catawba,#703642,112,54,66
CedarChest,#C95A49,201,90,73
Celadon,#ACE1AF,172,225,175
CeladonBlue,#007BA7,0,123,167
CeladonGreen,#2F847C,47,132,124
Celeste,#B2FFFF,178,255,255
CelticBlue,#246BCE,36,107,206
Cerise,#DE3163,222,49,99
Cerulean,#007BA7,0,123,167
CeruleanBlue,#2A52BE,42,82,190
CeruleanFrost,#6D9BC3,109,155,195
CeruleanCrayola,#1DACD6,29,172,214
CGBlue,#007AA5,0,122,165
CGRed,#E03C31,224,60,49
Champagne,#F7E7CE,247,231,206
ChampagnePink,#F1DDCF,241,221,207
Charcoal,#36454F,54,69,79
CharlestonGreen,#232B2B,35,43,43
CharmPink,#E68FAC,230,143,172
ChartreuseTraditional,#DFFF00,223,255,0
ChartreuseWeb,#7FFF00,127,255,0
CherryBlossomPink,#FFB7C5,255,183,197
Chestnut,#954535,149,69,53
ChinaPink,#DE6FA1,222,111,161
ChinaRose,#A8516E,168,81,110
ChineseRed,#AA381E,170,56,30
ChineseViolet,#856088,133,96,136
ChineseYellow,#FFB200,255,178,0
ChocolateTraditional,#7B3F00,123,63,0
ChocolateWeb,#D2691E,210,105,30
ChromeYellow,#FFA700,255,167,0
Cinereous,#98817B,152,129,123
Cinnabar,#E34234,227,66,52
CinnamonSatin,#CD607E,205,96,126
Citrine,#E4D00A,228,208,10
Citron,#9FA91F,159,169,31
Claret,#7F1734,127,23,52
CobaltBlue,#0047AB,0,71,171
CocoaBrown,#D2691E,210,105,30
Coffee,#6F4E37,111,78,55
ColumbiaBlue,#B9D9EB,185,217,235
CongoPink,#F88379,248,131,121
CoolGrey,#8C92AC,140,146,172
Copper,#B87333,184,115,51
CopperCrayola,#DA8A67,218,138,103
CopperPenny,#AD6F69,173,111,105
CopperRed,#CB6D51,203,109,81
CopperRose,#996666,153,102,102
Coquelicot,#FF3800,255,56,0
Coral,#FF7F50,255,127,80
CoralPink,#F88379,248,131,121
Cordovan,#893F45,137,63,69
Corn,#FBEC5D,251,236,93
CornflowerBlue,#6495ED,100,149,237
Cornsilk,#FFF8DC,255,248,220
CosmicCobalt,#2E2D88,46,45,136
CosmicLatte,#FFF8E7,255,248,231
CoyoteBrown,#81613C,129,97,60
CottonCandy,#FFBCD9,255,188,217
Cream,#FFFDD0,255,253,208
Crimson,#DC143C,220,20,60
CrimsonUA,#9E1B32,158,27,50
Cultured,#F5F5F5,245,245,245
CyanProcess,#00B7EB,0,183,235
CyberGrape,#58427C,88,66,124
CyberYellow,#FFD300,255,211,0
Cyclamen,#F56FA1,245,111,161
DarkBlueGray,#666699,102,102,153
DarkBrown,#654321,101,67,33
DarkByzantium,#5D3954,93,57,84
DarkCornflowerBlue,#26428B,38,66,139
DarkCyan,#008B8B,0,139,139
DarkElectricBlue,#536878,83,104,120
DarkGoldenrod,#B8860B,184,134,11
DarkGreen,#013220,1,50,32
DarkGreenX11,#006400,0,100,0
DarkJungleGreen,#1A2421,26,36,33
DarkKhaki,#BDB76B,189,183,107
DarkLava,#483C32,72,60,50
DarkLiver,#534B4F,83,75,79
DarkLiverHorses,#543D37,84,61,55
DarkMagenta,#8B008B,139,0,139
DarkMossGreen,#4A5D23,74,93,35
DarkOliveGreen,#556B2F,85,107,47
DarkOrange,#FF8C00,255,140,0
DarkOrchid,#9932CC,153,50,204
DarkPastelGreen,#03C03C,3,192,60
DarkPurple,#301934,48,25,52
DarkRed,#8B0000,139,0,0
DarkSalmon,#E9967A,233,150,122
DarkSeaGreen,#8FBC8F,143,188,143
DarkSienna,#3C1414,60,20,20
DarkSkyBlue,#8CBED6,140,190,214
DarkSlateBlue,#483D8B,72,61,139
DarkSlateGray,#2F4F4F,47,79,79
DarkSpringGreen,#177245,23,114,69
DarkTurquoise,#00CED1,0,206,209
DarkViolet,#9400D3,148,0,211
DartmouthGreen,#00703C,0,112,60
DavysGrey,#555555,85,85,85
DeepCerise,#DA3287,218,50,135
DeepChampagne,#FAD6A5,250,214,165
DeepChestnut,#B94E48,185,78,72
DeepJungleGreen,#004B49,0,75,73
DeepPink,#FF1493,255,20,147
DeepSaffron,#FF9933,255,153,51
DeepSkyBlue,#00BFFF,0,191,255
DeepSpaceSparkle,#4A646C,74,100,108
DeepTaupe,#7E5E60,126,94,96
Denim,#1560BD,21,96,189
DenimBlue,#2243B6,34,67,182
Desert,#C19A6B,193,154,107
DesertSand,#EDC9AF,237,201,175
DimGray,#696969,105,105,105
DodgerBlue,#1E90FF,30,144,255
DogwoodRose,#D71868,215,24,104
Drab,#967117,150,113,23
DukeBlue,#00009C,0,0,156
DutchWhite,#EFDFBB,239,223,187
EarthYellow,#E1A95F,225,169,95
Ebony,#555D50,85,93,80
Ecru,#C2B280,194,178,128
EerieBlack,#1B1B1B,27,27,27
Eggplant,#614051,97,64,81
Eggshell,#F0EAD6,240,234,214
EgyptianBlue,#1034A6,16,52,166
ElectricBlue,#7DF9FF,125,249,255
ElectricGreen,#00FF00,0,255,0
ElectricIndigo,#6F00FF,111,0,255
ElectricLime,#CCFF00,204,255,0
ElectricPurple,#BF00FF,191,0,255
ElectricViolet,#8F00FF,143,0,255
Emerald,#50C878,80,200,120
Eminence,#6C3082,108,48,130
EnglishGreen,#1B4D3E,27,77,62
EnglishLavender,#B48395,180,131,149
EnglishRed,#AB4B52,171,75,82
EnglishVermillion,#CC474B,204,71,75
EnglishViolet,#563C5C,86,60,92
Erin,#00FF40,0,255,64
EtonBlue,#96C8A2,150,200,162
Fallow,#C19A6B,193,154,107
FaluRed,#801818,128,24,24
Fandango,#B53389,181,51,137
FandangoPink,#DE5285,222,82,133
FashionFuchsia,#F400A1,244,0,161
Fawn,#E5AA70,229,170,112
Feldgrau,#4D5D53,77,93,83
FernGreen,#4F7942,79,121,66
FieldDrab,#6C541E,108,84,30
FieryRose,#FF5470,255,84,112
Firebrick,#B22222,178,34,34
FireEngineRed,#CE2029,206,32,41
FireOpal,#E95C4B,233,92,75
Flame,#E25822,226,88,34
Flax,#EEDC82,238,220,130
Flirt,#A2006D,162,0,109
FloralWhite,#FFFAF0,255,250,240
FluorescentBlue,#15F4EE,21,244,238
ForestGreenCrayola,#5FA777,95,167,119
ForestGreenTraditional,#014421,1,68,33
ForestGreenWeb,#228B22,34,139,34
FrenchBeige,#A67B5B,166,123,91
FrenchBistre,#856D4D,133,109,77
FrenchBlue,#0072BB,0,114,187
FrenchFuchsia,#FD3F92,253,63,146
FrenchLilac,#86608E,134,96,142
FrenchLime,#9EFD38,158,253,56
FrenchMauve,#D473D4,212,115,212
FrenchPink,#FD6C9E,253,108,158
FrenchRaspberry,#C72C48,199,44,72
FrenchRose,#F64A8A,246,74,138
FrenchSkyBlue,#77B5FE,119,181,254
FrenchViolet,#8806CE,136,6,206
Frostbite,#E936A7,233,54,167
Fuchsia,#FF00FF,255,0,255
FuchsiaCrayola,#C154C1,193,84,193
FuchsiaPurple,#CC397B,204,57,123
FuchsiaRose,#C74375,199,67,117
Fulvous,#E48400,228,132,0
FuzzyWuzzy,#87421F,135,66,31
Gainsboro,#DCDCDC,220,220,220
Gamboge,#E49B0F,228,155,15
GenericViridian,#007F66,0,127,102
GhostWhite,#F8F8FF,248,248,255
Glaucous,#6082B6,96,130,182
GlossyGrape,#AB92B3,171,146,179
GOGreen,#00AB66,0,171,102
Gold,#A57C00,165,124,0
GoldMetallic,#D4AF37,212,175,55
GoldWebGolden,#FFD700,255,215,0
GoldCrayola,#E6BE8A,230,190,138
GoldFusion,#85754E,133,117,78
GoldenBrown,#996515,153,101,21
GoldenPoppy,#FCC200,252,194,0
GoldenYellow,#FFDF00,255,223,0
Goldenrod,#DAA520,218,165,32
GraniteGray,#676767,103,103,103
GrannySmithApple,#A8E4A0,168,228,160
GrayWeb,#808080,128,128,128
GrayX11,#BEBEBE,190,190,190
GreenCrayola,#1CAC78,28,172,120
GreenWeb,#008000,0,128,0
GreenMunsell,#00A877,0,168,119
GreenNCS,#009F6B,0,159,107
GreenPantone,#00AD43,0,173,67
GreenPigment,#00A550,0,165,80
GreenRYB,#66B032,102,176,50
GreenBlue,#1164B4,17,100,180
GreenBlueCrayola,#2887C8,40,135,200
GreenCyan,#009966,0,153,102
GreenLizard,#A7F432,167,244,50
GreenSheen,#6EAEA1,110,174,161
GreenYellow,#ADFF2F,173,255,47
GreenYellowCrayola,#F0E891,240,232,145
Grullo,#A99A86,169,154,134
Gunmetal,#2A3439,42,52,57
HanBlue,#446CCF,68,108,207
HanPurple,#5218FA,82,24,250
HansaYellow,#E9D66B,233,214,107
Harlequin,#3FFF00,63,255,0
HarvestGold,#DA9100,218,145,0
HeatWave,#FF7A00,255,122,0
Heliotrope,#DF73FF,223,115,255
HeliotropeGray,#AA98A9,170,152,169
HollywoodCerise,#F400A1,244,0,161
Honeydew,#F0FFF0,240,255,240
HonoluluBlue,#006DB0,0,109,176
HookersGreen,#49796B,73,121,107
HotMagenta,#FF1DCE,255,29,206
HotPink,#FF69B4,255,105,180
HunterGreen,#355E3B,53,94,59
Iceberg,#71A6D2,113,166,210
Icterine,#FCF75E,252,247,94
IlluminatingEmerald,#319177,49,145,119
ImperialRed,#ED2939,237,41,57
Inchworm,#B2EC5D,178,236,93
Independence,#4C516D,76,81,109
IndiaGreen,#138808,19,136,8
IndianRed,#CD5C5C,205,92,92
IndianYellow,#E3A857,227,168,87
Indigo,#4B0082,75,0,130
IndigoDye,#00416A,0,65,106
InternationalOrangeAerospace,#FF4F00,255,79,0
InternationalOrangeEngineering,#BA160C,186,22,12
InternationalOrangeGoldenGateBridge,#C0362C,192,54,44
Iris,#5A4FCF,90,79,207
Irresistible,#B3446C,179,68,108
Isabelline,#F4F0EC,244,240,236
ItalianSkyBlue,#B2FFFF,178,255,255
Ivory,#FFFFF0,255,255,240
Jade,#00A86B,0,168,107
JapaneseCarmine,#9D2933,157,41,51
JapaneseViolet,#5B3256,91,50,86
Jasmine,#F8DE7E,248,222,126
JazzberryJam,#A50B5E,165,11,94
Jet,#343434,52,52,52
Jonquil,#F4CA16,244,202,22
JuneBud,#BDDA57,189,218,87
JungleGreen,#29AB87,41,171,135
KellyGreen,#4CBB17,76,187,23
Keppel,#3AB09E,58,176,158
KeyLime,#E8F48C,232,244,140
KhakiWeb,#C3B091,195,176,145
KhakiX11,#F0E68C,240,230,140
Kobe,#882D17,136,45,23
Kobi,#E79FC4,231,159,196
Kobicha,#6B4423,107,68,35
KombuGreen,#354230,53,66,48
KSUPurple,#512888,81,40,136
LanguidLavender,#D6CADD,214,202,221
LapisLazuli,#26619C,38,97,156
LaserLemon,#FFFF66,255,255,102
LaurelGreen,#A9BA9D,169,186,157
Lava,#CF1020,207,16,32
LavenderFloral,#B57EDC,181,126,220
LavenderWeb,#E6E6FA,230,230,250
LavenderBlue,#CCCCFF,204,204,255
LavenderBlush,#FFF0F5,255,240,245
LavenderGray,#C4C3D0,196,195,208
LawnGreen,#7CFC00,124,252,0
Lemon,#FFF700,255,247,0
LemonChiffon,#FFFACD,255,250,205
LemonCurry,#CCA01D,204,160,29
LemonGlacier,#FDFF00,253,255,0
LemonMeringue,#F6EABE,246,234,190
LemonYellow,#FFF44F,255,244,79
LemonYellowCrayola,#FFFF9F,255,255,159
Liberty,#545AA7,84,90,167
LightBlue,#ADD8E6,173,216,230
LightCoral,#F08080,240,128,128
LightCornflowerBlue,#93CCEA,147,204,234
LightCyan,#E0FFFF,224,255,255
LightFrenchBeige,#C8AD7F,200,173,127
LightGoldenrodYellow,#FAFAD2,250,250,210
LightGray,#D3D3D3,211,211,211
LightGreen,#90EE90,144,238,144
LightOrange,#FED8B1,254,216,177
LightPeriwinkle,#C5CBE1,197,203,225
LightPink,#FFB6C1,255,182,193
LightSalmon,#FFA07A,255,160,122
LightSeaGreen,#20B2AA,32,178,170
LightSkyBlue,#87CEFA,135,206,250
LightSlateGray,#778899,119,136,153
LightSteelBlue,#B0C4DE,176,196,222
LightYellow,#FFFFE0,255,255,224
Lilac,#C8A2C8,200,162,200
LilacLuster,#AE98AA,174,152,170
LimeColorWheel,#BFFF00,191,255,0
LimeWeb,#00FF00,0,255,0
LimeGreen,#32CD32,50,205,50
LincolnGreen,#195905,25,89,5
Linen,#FAF0E6,250,240,230
Lion,#C19A6B,193,154,107
LiseranPurple,#DE6FA1,222,111,161
LittleBoyBlue,#6CA0DC,108,160,220
Liver,#674C47,103,76,71
LiverDogs,#B86D29,184,109,41
LiverOrgan,#6C2E1F,108,46,31
LiverChestnut,#987456,152,116,86
Livid,#6699CC,102,153,204
MacaroniAndCheese,#FFBD88,255,189,136
MadderLake,#CC3336,204,51,54
MagentaCrayola,#F653A6,246,83,166
MagentaDye,#CA1F7B,202,31,123
MagentaPantone,#D0417E,208,65,126
MagentaProcess,#FF0090,255,0,144
MagentaHaze,#9F4576,159,69,118
MagicMint,#AAF0D1,170,240,209
Magnolia,#F2E8D7,242,232,215
Mahogany,#C04000,192,64,0
Maize,#FBEC5D,251,236,93
MaizeCrayola,#F2C649,242,198,73
MajorelleBlue,#6050DC,96,80,220
Malachite,#0BDA51,11,218,81
Manatee,#979AAA,151,154,170
Mandarin,#F37A48,243,122,72
Mango,#FDBE02,253,190,2
MangoTango,#FF8243,255,130,67
Mantis,#74C365,116,195,101
MardiGras,#880085,136,0,133
Marigold,#EAA221,234,162,33
MaroonCrayola,#C32148,195,33,72
MaroonWeb,#800000,128,0,0
MaroonX11,#B03060,176,48,96
Mauve,#E0B0FF,224,176,255
MauveTaupe,#915F6D,145,95,109
Mauvelous,#EF98AA,239,152,170
MaximumBlue,#47ABCC,71,171,204
MaximumBlueGreen,#30BFBF,48,191,191
MaximumBluePurple,#ACACE6,172,172,230
MaximumGreen,#5E8C31,94,140,49
MaximumGreenYellow,#D9E650,217,230,80
MaximumPurple,#733380,115,51,128
MaximumRed,#D92121,217,33,33
MaximumRedPurple,#A63A79,166,58,121
MaximumYellow,#FAFA37,250,250,55
MaximumYellowRed,#F2BA49,242,186,73
MayGreen,#4C9141,76,145,65
MayaBlue,#73C2FB,115,194,251
MediumAquamarine,#66DDAA,102,221,170
MediumBlue,#0000CD,0,0,205
MediumCandyAppleRed,#E2062C,226,6,44
MediumCarmine,#AF4035,175,64,53
MediumChampagne,#F3E5AB,243,229,171
MediumOrchid,#BA55D3,186,85,211
MediumPurple,#9370DB,147,112,219
MediumSeaGreen,#3CB371,60,179,113
MediumSlateBlue,#7B68EE,123,104,238
MediumSpringGreen,#00FA9A,0,250,154
MediumTurquoise,#48D1CC,72,209,204
MediumVioletRed,#C71585,199,21,133
MellowApricot,#F8B878,248,184,120
MellowYellow,#F8DE7E,248,222,126
Melon,#FEBAAD,254,186,173
MetallicGold,#D3AF37,211,175,55
MetallicSeaweed,#0A7E8C,10,126,140
MetallicSunburst,#9C7C38,156,124,56
MexicanPink,#E4007C,228,0,124
MiddleBlue,#7ED4E6,126,212,230
MiddleBlueGreen,#8DD9CC,141,217,204
MiddleBluePurple,#8B72BE,139,114,190
MiddleGrey,#8B8680,139,134,128
MiddleGreen,#4D8C57,77,140,87
MiddleGreenYellow,#ACBF60,172,191,96
MiddlePurple,#D982B5,217,130,181
MiddleRed,#E58E73,229,142,115
MiddleRedPurple,#A55353,165,83,83
MiddleYellow,#FFEB00,255,235,0
MiddleYellowRed,#ECB176,236,177,118
Midnight,#702670,112,38,112
MidnightBlue,#191970,25,25,112
MidnightGreen,#004953,0,73,83
MikadoYellow,#FFC40C,255,196,12
MimiPink,#FFDAE9,255,218,233
Mindaro,#E3F988,227,249,136
Ming,#36747D,54,116,125
MinionYellow,#F5E050,245,224,80
Mint,#3EB489,62,180,137
MintCream,#F5FFFA,245,255,250
MintGreen,#98FF98,152,255,152
MistyMoss,#BBB477,187,180,119
MistyRose,#FFE4E1,255,228,225
ModeBeige,#967117,150,113,23
MorningBlue,#8DA399,141,163,153
MossGreen,#8A9A5B,138,154,91
MountainMeadow,#30BA8F,48,186,143
MountbattenPink,#997A8D,153,122,141
MSUGreen,#18453B,24,69,59
Mulberry,#C54B8C,197,75,140
MulberryCrayola,#C8509B,200,80,155
Mustard,#FFDB58,255,219,88
MyrtleGreen,#317873,49,120,115
Mystic,#D65282,214,82,130
MysticMaroon,#AD4379,173,67,121
NadeshikoPink,#F6ADC6,246,173,198
NaplesYellow,#FADA5E,250,218,94
NavajoWhite,#FFDEAD,255,222,173
NavyBlue,#000080,0,0,128
NavyBlueCrayola,#1974D2,25,116,210
NeonBlue,#4666FF,70,102,255
NeonCarrot,#FFA343,255,163,67
NeonGreen,#39FF14,57,255,20
NeonFuchsia,#FE4164,254,65,100
NewYorkPink,#D7837F,215,131,127
Nickel,#727472,114,116,114
NonPhotoBlue,#A4DDED,164,221,237
Nyanza,#E9FFDB,233,255,219
OceanBlue,#4F42B5,79,66,181
OceanGreen,#48BF91,72,191,145
Ochre,#CC7722,204,119,34
OldBurgundy,#43302E,67,48,46
OldGold,#CFB53B,207,181,59
OldLace,#FDF5E6,253,245,230
OldLavender,#796878,121,104,120
OldMauve,#673147,103,49,71
OldRose,#C08081,192,128,129
OldSilver,#848482,132,132,130
Olive,#808000,128,128,0
OliveDrab3,#6B8E23,107,142,35
OliveDrab7,#3C341F,60,52,31
OliveGreen,#B5B35C,181,179,92
Olivine,#9AB973,154,185,115
Onyx,#353839,53,56,57
Opal,#A8C3BC,168,195,188
OperaMauve,#B784A7,183,132,167
OrangeCrayola,#FF7538,255,117,56
OrangePantone,#FF5800,255,88,0
OrangeWeb,#FFA500,255,165,0
OrangePeel,#FF9F00,255,159,0
OrangeRed,#FF681F,255,104,31
OrangeRedCrayola,#FF5349,255,83,73
OrangeSoda,#FA5B3D,250,91,61
OrangeYellow,#F5BD1F,245,189,31
OrangeYellowCrayola,#F8D568,248,213,104
Orchid,#DA70D6,218,112,214
OrchidPink,#F2BDCD,242,189,205
OrchidCrayola,#E29CD2,226,156,210
OuterSpaceCrayola,#2D383A,45,56,58
OutrageousOrange,#FF6E4A,255,110,74
OxBlood,#800020,128,0,32
OxfordBlue,#002147,0,33,71
OUCrimsonRed,#841617,132,22,23
PacificBlue,#1CA9C9,28,169,201
PakistanGreen,#006600,0,102,0
PalatinatePurple,#682860,104,40,96
PaleAqua,#BCD4E6,188,212,230
PaleCerulean,#9BC4E2,155,196,226
PalePink,#FADADD,250,218,221
PalePurplePantone,#FAE6FA,250,230,250
PaleSilver,#C9C0BB,201,192,187
PaleSpringBud,#ECEBBD,236,235,189
PansyPurple,#78184A,120,24,74
PaoloVeroneseGreen,#009B7D,0,155,125
PapayaWhip,#FFEFD5,255,239,213
ParadisePink,#E63E62,230,62,98
ParisGreen,#50C878,80,200,120
PastelPink,#DEA5A4,222,165,164
Patriarch,#800080,128,0,128
PaynesGrey,#536878,83,104,120
Peach,#FFE5B4,255,229,180
PeachCrayola,#FFCBA4,255,203,164
PeachPuff,#FFDAB9,255,218,185
Pear,#D1E231,209,226,49
PearlyPurple,#B768A2,183,104,162
Periwinkle,#CCCCFF,204,204,255
PeriwinkleCrayola,#C3CDE6,195,205,230
PermanentGeraniumLake,#E12C2C,225,44,44
PersianBlue,#1C39BB,28,57,187
PersianGreen,#00A693,0,166,147
PersianIndigo,#32127A,50,18,122
PersianOrange,#D99058,217,144,88
PersianPink,#F77FBE,247,127,190
PersianPlum,#701C1C,112,28,28
PersianRed,#CC3333,204,51,51
PersianRose,#FE28A2,254,40,162
Persimmon,#EC5800,236,88,0
PewterBlue,#8BA8B7,139,168,183
Phlox,#DF00FF,223,0,255
PhthaloBlue,#000F89,0,15,137
PhthaloGreen,#123524,18,53,36
PicoteeBlue,#2E2787,46,39,135
PictorialCarmine,#C30B4E,195,11,78
PiggyPink,#FDDDE6,253,221,230
PineGreen,#01796F,1,121,111
PineTree,#2A2F23,42,47,35
Pink,#FFC0CB,255,192,203
PinkPantone,#D74894,215,72,148
PinkFlamingo,#FC74FD,252,116,253
PinkLace,#FFDDF4,255,221,244
PinkLavender,#D8B2D1,216,178,209
PinkSherbet,#F78FA7,247,143,167
Pistachio,#93C572,147,197,114
Platinum,#E5E4E2,229,228,226
Plum,#8E4585,142,69,133
PlumWeb,#DDA0DD,221,160,221
PlumpPurple,#5946B2,89,70,178
PolishedPine,#5DA493,93,164,147
PompAndPower,#86608E,134,96,142
Popstar,#BE4F62,190,79,98
PortlandOrange,#FF5A36,255,90,54
PowderBlue,#B0E0E6,176,224,230
PrincetonOrange,#F58025,245,128,37
Prune,#701C1C,112,28,28
PrussianBlue,#003153,0,49,83
PsychedelicPurple,#DF00FF,223,0,255
Puce,#CC8899,204,136,153
PullmanBrown,#644117,100,65,23
Pumpkin,#FF7518,255,117,24
Purple,#6A0DAD,106,13,173
PurpleWeb,#800080,128,0,128
PurpleMunsell,#9F00C5,159,0,197
PurpleX11,#A020F0,160,32,240
PurpleMountainMajesty,#9678B6,150,120,182
PurpleNavy,#4E5180,78,81,128
PurplePizzazz,#FE4EDA,254,78,218
PurplePlum,#9C51B6,156,81,182
Purpureus,#9A4EAE,154,78,174
QueenBlue,#436B95,67,107,149
QueenPink,#E8CCD7,232,204,215
QuickSilver,#A6A6A6,166,166,166
QuinacridoneMagenta,#8E3A59,142,58,89
RadicalRed,#FF355E,255,53,94
RaisinBlack,#242124,36,33,36
Rajah,#FBAB60,251,171,96
Raspberry,#E30B5D,227,11,93
RaspberryGlace,#915F6D,145,95,109
RaspberryRose,#B3446C,179,68,108
RawSienna,#D68A59,214,138,89
RawUmber,#826644,130,102,68
RazzleDazzleRose,#FF33CC,255,51,204
Razzmatazz,#E3256B,227,37,107
RazzmicBerry,#8D4E85,141,78,133
RebeccaPurple,#663399,102,51,153
